LEVEL,DMCODE,GEOM,SLD_FILE,STYLE_LAYER_ID,SPRITE_ID,DECORATION,STATUS,NOTE
2500,2228,line,DM_2228.sld,dm-2228-line-2500-line,,,supported,
2500,2228,polygon,DM_2228.sld,dm-2228-polygon-2500-line,,,supported,same outline style as line geometry
2500,2231,line,DM_2231.sld,dm-2231-line-2500-line,,,supported,
2500,2232,line,DM_2232.sld,dm-2232-line-2500-line,,,supported,
2500,2233,line,DM_2233.sld,dm-2233-line-2500-line,,,supported,
2500,2234,line,DM_2234.sld,dm-2234-line-2500-line,,,supported,
2500,2235,line,DM_2235.sld,dm-2235-line-2500-line,,,supported,
2500,2236,line,DM_2236.sld,dm-2236-line-2500-line,,,supported,
2500,2238,point,DM_2238.sld,dm-2238-point-2500-symbol,,,partial,point symbol source is unavailable
2500,2239,point,DM_2239.sld,dm-2239-point-2500-symbol,dm-2239,,supported,
2500,2301,line,DM_2301.sld,dm-2301-line-2500-line,,,supported,
2500,2302,line,DM_2302.sld,dm-2302-line-2500-line,,,supported,
2500,2303,line,DM_2303.sld,dm-2303-line-2500-line,,,supported,
2500,2304,line,DM_2304.sld,dm-2304-line-2500-line,,,supported,
2500,2305,line,DM_2305.sld,dm-2305-line-2500-decoration,,perpendicular_tick,supported,
2500,2305,line,DM_2305.sld,dm-2305-line-2500-line,,,supported,
2500,2306,line,DM_2306.sld,dm-2306-line-2500-decoration,,attached_triangles,supported,
2500,2306,line,DM_2306.sld,dm-2306-line-2500-line,,,supported,
2500,2309,line,DM_2309.sld,dm-2309-line-2500-line,,,supported,
2500,2311,line,DM_2311.sld,dm-2311-line-2500-line,,,supported,
2500,2312,line,DM_2312.sld,dm-2312-line-2500-line,,,supported,
2500,2313,line,DM_2313.sld,dm-2313-line-2500-line,,,supported,
2500,2314,line,DM_2314.sld,dm-2314-line-2500-line,,,supported,
2500,2315,line,DM_2315.sld,dm-2315-line-2500-line,,,supported,
2500,2401,line,DM_2401.sld,dm-2401-line-2500-line,,,supported,
2500,2411,line,DM_2411.sld,dm-2411-line-2500-line,,,supported,
2500,2412,line,DM_2412.sld,dm-2412-line-2500-line,,,supported,
2500,2419,line,DM_2419_line.sld,dm-2419-line-2500-line-line,,,supported,
2500,2419,point,DM_2419_point.sld,dm-2419-point-2500-symbol-point,dm-4219,,supported,same point symbol as DM code 4219
2500,2421,point,DM_2421.sld,dm-2421-point-2500-symbol,,,partial,point symbol source is unavailable
2500,2424,line,DM_2424.sld,dm-2424-line-2500-line,,,supported,
2500,2425,line,DM_2425.sld,dm-2425-line-2500-line,,,supported,
2500,2426,line,DM_2426.sld,dm-2426-line-2500-line,,,supported,
2500,2428,line,DM_2428.sld,dm-2428-line-2500-line,,,supported,
2500,3001,line,DM_3001.sld,dm-3001-line-2500-line,,,supported,
2500,3001,polygon,DM_3001.sld,dm-3001-polygon-2500-line,,,supported,same outline style as line geometry
2500,3002,line,DM_3002.sld,dm-3002-line-2500-line,,,supported,
2500,3002,polygon,DM_3002.sld,dm-3002-polygon-2500-line,,,supported,same outline style as line geometry
2500,3003,line,DM_3003.sld,dm-3003-line-2500-line,,,supported,
2500,3003,polygon,DM_3003.sld,dm-3003-polygon-2500-line,,,supported,same outline style as line geometry
2500,3004,line,DM_3004.sld,dm-3004-line-2500-line,,,supported,
2500,3004,polygon,DM_3004.sld,dm-3004-polygon-2500-line,,,supported,same outline style as line geometry
2500,3401,line,DM_3401.sld,dm-3401-line-2500-line,,,supported,
2500,3401,point,DM_3401_point.sld,dm-3401-point-2500-symbol,dm-3401,,supported,unfilled 0.5 mm square with rotation
2500,3401,polygon,DM_3401.sld,dm-3401-polygon-2500-line,,,supported,same outline style as line geometry
2500,3402,line,DM_3402.sld,dm-3402-line-2500-line,,,supported,
2500,3503,point,DM_3503.sld,dm-3503-point-2500-symbol,dm-3503,,supported,
2500,3504,point,DM_3504.sld,dm-3504-point-2500-symbol,dm-3504,,supported,
2500,3505,point,DM_3505.sld,dm-3505-point-2500-symbol,dm-3505,,supported,
2500,3507,point,DM_3507.sld,dm-3507-point-2500-symbol,dm-3507,,supported,
2500,3509,point,DM_3509.sld,dm-3509-point-2500-symbol,dm-3509,,supported,
2500,3510,point,DM_3510.sld,dm-3510-point-2500-symbol,dm-3510,,supported,
2500,3511,point,DM_3511.sld,dm-3511-point-2500-symbol,dm-3511,,supported,
2500,3514,point,DM_3514.sld,dm-3514-point-2500-symbol,dm-3514,,supported,
2500,3515,point,DM_3515.sld,dm-3515-point-2500-symbol,dm-3515,,supported,
2500,3516,point,DM_3516.sld,dm-3516-point-2500-symbol,dm-3516,,supported,
2500,3517,point,DM_3517.sld,dm-3517-point-2500-symbol,dm-3517,,supported,
2500,3519,point,DM_3519.sld,dm-3519-point-2500-symbol,dm-3519,,supported,
2500,3521,point,DM_3521.sld,dm-3521-point-2500-symbol,dm-3521,,supported,
2500,3522,point,DM_3522.sld,dm-3522-point-2500-symbol,dm-3522,,supported,
2500,3523,point,DM_3523.sld,dm-3523-point-2500-symbol,dm-3523,,supported,
2500,3524,point,DM_3524.sld,dm-3524-point-2500-symbol,dm-3524,,supported,
2500,3525,point,DM_3525.sld,dm-3525-point-2500-symbol,dm-3525,,supported,
2500,3526,point,DM_3526.sld,dm-3526-point-2500-symbol,dm-3526,,supported,
2500,3530,point,DM_3530.sld,dm-3530-point-2500-symbol,dm-3530,,supported,
2500,3531,point,DM_3531.sld,dm-3531-point-2500-symbol,dm-3531,,supported,
2500,3532,point,DM_3532.sld,dm-3532-point-2500-symbol,dm-3532,,supported,
2500,3534,point,DM_3534.sld,dm-3534-point-2500-symbol,dm-3534,,supported,
2500,3536,point,DM_3536.sld,dm-3536-point-2500-symbol,dm-3536,,supported,
2500,3545,point,DM_3545.sld,dm-3545-point-2500-symbol,dm-3545,,supported,
2500,3546,point,DM_3546.sld,dm-3546-point-2500-symbol,dm-3546,,supported,
2500,3548,point,DM_3548.sld,dm-3548-point-2500-symbol,dm-3548,,supported,
2500,3549,point,DM_3549.sld,dm-3549-point-2500-symbol,dm-3549,,supported,
2500,3550,point,DM_3550.sld,dm-3550-point-2500-symbol,dm-3550,,supported,
2500,3556,point,DM_3556.sld,dm-3556-point-2500-symbol,dm-3556,,supported,
2500,3560,point,DM_3560.sld,dm-3560-point-2500-symbol,dm-3560,,supported,
2500,4201,point,DM_4201.sld,dm-4201-point-2500-symbol,dm-4201,,supported,
2500,4202,point,DM_4202.sld,dm-4202-point-2500-symbol,dm-4202,,supported,
2500,4203,point,DM_4203.sld,dm-4203-point-2500-symbol,dm-4203,,supported,
2500,4204,point,DM_4204.sld,dm-4204-point-2500-symbol,dm-4204,,supported,
2500,4205,point,DM_4205.sld,dm-4205-point-2500-symbol,dm-4205,,supported,
2500,4207,line,DM_4207.sld,dm-4207-line-2500-line,,,supported,
2500,4207,point,DM_4207.sld,dm-4207-point-2500-symbol,dm-4207,,supported,
2500,4208,point,DM_4208.sld,dm-4208-point-2500-symbol,dm-4208,,supported,
2500,4219,line,DM_4219_line.sld,dm-4219-line-2500-line-line,dm-4219,,supported,
2500,4219,point,DM_4219_point.sld,dm-4219-point-2500-symbol-point,dm-4219,,supported,
2500,4219,polygon,DM_4219_line.sld,dm-4219-polygon-2500-line,,,supported,same outline style as line geometry
2500,4221,point,DM_4221.sld,dm-4221-point-2500-symbol,dm-4221,,supported,
2500,4222,point,DM_4222.sld,dm-4222-point-2500-symbol,dm-4222,,supported,
2500,4225,point,DM_4225.sld,dm-4225-point-2500-symbol,dm-4225,,supported,
2500,4228,point,DM_4228.sld,dm-4228-point-2500-symbol,dm-4228,,supported,
2500,4231,point,DM_4231.sld,dm-4231-point-2500-symbol,,,supported,
2500,4231,polygon,DM_4231.sld,dm-4231-polygon-2500-line,,,supported,circle outline
2500,4234,line,DM_4234.sld,dm-4234-line-2500-line,,,supported,
2500,4234,point,DM_4234.sld,dm-4234-point-2500-symbol,dm-4234,,supported,
2500,4234,polygon,DM_4234.sld,dm-4234-polygon-2500-line,,,supported,same outline style as line geometry
2500,4235,line,DM_4235.sld,dm-4235-line-2500-line,,,supported,
2500,4235,point,DM_4235.sld,dm-4235-point-2500-symbol,dm-4235,,supported,
2500,4235,polygon,DM_4235.sld,dm-4235-polygon-2500-line,,,supported,same outline style as line geometry
2500,4236,point,DM_4236.sld,dm-4236-point-2500-symbol,dm-4236,,supported,
2500,4239,point,DM_4239.sld,dm-4239-point-2500-symbol,dm-4239,,supported,
2500,4241,line,DM_4241.sld,dm-4241-line-2500-line,,,supported,
2500,4241,point,DM_4241.sld,dm-4241-point-2500-symbol,dm-4241,,supported,
2500,4241,polygon,DM_4241.sld,dm-4241-polygon-2500-line,,,supported,same outline style as line geometry
2500,4243,point,DM_4243.sld,dm-4243-point-2500-symbol,dm-4243,,supported,
2500,4251,point,DM_4251.sld,dm-4251-point-2500-symbol,dm-4251,,supported,
2500,4261,line,DM_4261.sld,dm-4261-line-2500-line,,,supported,
2500,4261,polygon,DM_4261.sld,dm-4261-polygon-2500-line,,,supported,same outline style as line geometry
2500,4262,line,DM_4262.sld,dm-4262-line-2500-line,,required,supported,
2500,4262,polygon,DM_4262.sld,dm-4262-polygon-2500-line,,,supported,same outline style as line geometry
2500,4265,line,DM_4265.sld,dm-4265-line-2500-line,,,supported,
2500,5101,line,DM_5101.sld,dm-5101-line-2500-line,,,supported,
2500,5102,line,DM_5102.sld,dm-5102-line-2500-line,,,supported,
2500,5103,line,DM_5103.sld,dm-5103-line-2500-line,,,supported,
2500,5104,line,DM_5104.sld,dm-5104-line-2500-line,,,supported,
2500,5105,line,DM_5105.sld,dm-5105-line-2500-line,,,supported,
2500,5105,point,DM_5105.sld,dm-5105-point-2500-symbol,dm-5105,,supported,2 mm wide W centered on point
2500,5106,line,DM_5106.sld,dm-5106-line-2500-line,,,supported,
2500,5107,line,DM_5107.sld,dm-5107-line-2500-line,,,supported,
2500,5108,line,DM_51xx.sld,dm-5108-line-2500-line,,,supported,shared 51xx dashed line style
2500,5109,line,DM_51xx.sld,dm-5109-line-2500-line,,,supported,shared 51xx dashed line style
2500,5110,line,DM_51xx.sld,dm-5110-line-2500-line,,,supported,shared 51xx dashed line style
2500,5111,line,DM_5111.sld,dm-5111-line-2500-line,,,supported,
2500,5112,line,DM_51xx.sld,dm-5112-line-2500-line,,,supported,shared 51xx dashed line style
2500,5113,line,DM_51xx.sld,dm-5113-line-2500-line,,,supported,shared 51xx dashed line style
2500,5114,line,DM_51xx.sld,dm-5114-line-2500-line,,,supported,shared 51xx dashed line style
2500,5115,line,DM_51xx.sld,dm-5115-line-2500-line,,,supported,shared 51xx dashed line style
2500,5116,line,DM_51xx.sld,dm-5116-line-2500-line,,,supported,shared 51xx dashed line style
2500,5117,line,DM_51xx.sld,dm-5117-line-2500-line,,,supported,shared 51xx dashed line style
2500,5118,line,DM_51xx.sld,dm-5118-line-2500-line,,,supported,shared 51xx dashed line style
2500,5119,line,DM_51xx.sld,dm-5119-line-2500-line,,,supported,shared 51xx dashed line style
2500,5120,line,DM_51xx.sld,dm-5120-line-2500-line,,,supported,shared 51xx dashed line style
2500,5121,line,DM_51xx.sld,dm-5121-line-2500-line,,,supported,shared 51xx dashed line style
2500,5122,line,DM_51xx.sld,dm-5122-line-2500-line,,,supported,shared 51xx dashed line style
2500,5123,line,DM_51xx.sld,dm-5123-line-2500-line,,,supported,shared 51xx dashed line style
2500,5124,line,DM_51xx.sld,dm-5124-line-2500-line,,,supported,shared 51xx dashed line style
2500,5125,line,DM_51xx.sld,dm-5125-line-2500-line,,,supported,shared 51xx dashed line style
2500,5126,line,DM_51xx.sld,dm-5126-line-2500-line,,,supported,shared 51xx dashed line style
2500,5127,line,DM_51xx.sld,dm-5127-line-2500-line,,,supported,shared 51xx dashed line style
2500,5128,line,DM_51xx.sld,dm-5128-line-2500-line,,,supported,shared 51xx dashed line style
2500,5129,line,DM_51xx.sld,dm-5129-line-2500-line,,,supported,shared 51xx dashed line style
2500,5130,line,DM_51xx.sld,dm-5130-line-2500-line,,,supported,shared 51xx dashed line style
2500,5131,line,DM_51xx.sld,dm-5131-line-2500-line,,,supported,shared 51xx dashed line style
